Title,Artist,This Week,Last Week,Peak,Duration,Album Cover
Ride It.,Regard,75,74,62,7,https://charts-static.billboard.com/img/2019/08/dj-regard-rjm-ride-it-0z9-155x155.jpg
Daechwita,Agust D,76,-,76,1,https://www.billboard.com/assets/1590780914/images/charts/bb-placeholder-new.jpg
P*$$y Fairy (OTW),Jhene Aiko,77,78,40,19,https://charts-static.billboard.com/img/2020/02/jhene-aiko-000-p*$$y-fairy-otw-ycj-155x155.jpg
Nasty Girl / On Camera,Gunna,78,-,78,1,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
Daisies,Katy Perry,79,40,40,2,https://charts-static.billboard.com/img/2020/05/katy-perry-k49-daisies-tmc-155x155.jpg
God Whispered Your Name,Keith Urban,80,85,80,6,https://charts-static.billboard.com/img/1840/12/keith-urban-9lg.jpg
In Between,Scotty McCreery,81,83,72,7,https://charts-static.billboard.com/img/2019/04/scotty-mccreery-qgz-in-between-01v-155x155.jpg
Die From A Broken Heart,Maddie & Tae,82,87,80,7,https://charts-static.billboard.com/img/2018/12/maddie-tae-uwd-die-from-a-broken-heart-h1l-155x155.jpg
Solitaires,Future Featuring Travis Scott,83,32,32,2,https://charts-static.billboard.com/img/1988/03/future-f8b-155x155.jpg
MOTW,Gunna,84,-,84,1,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
Trillionaire,Future Featuring YoungBoy Never Broke Again,85,34,34,2,https://charts-static.billboard.com/img/1988/03/future-f8b-155x155.jpg
Gimmick,Gunna,86,-,86,1,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
Drinking Alone,Carrie Underwood,87,99,87,4,https://charts-static.billboard.com/img/2018/09/carrie-underwood-ko6-155x155.jpg
Godzilla,Eminem Featuring Juice WRLD,88,90,3,19,https://charts-static.billboard.com/img/2020/02/eminem-6zg-godzilla-r12-155x155.jpg
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",89,100,71,8,https://charts-static.billboard.com/img/2020/04/thomas-rhett-gl5-be-a-light-6je-155x155.jpg
Turks,"NAV, Gunna & Travis Scott",90,91,17,9,https://charts-static.billboard.com/img/2020/04/nav-9qd-turks-w6o-155x155.jpg
Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas,91,67,60,9,https://charts-static.billboard.com/img/2019/03/polo-g-g7p-155x155.jpg
Don't Rush,Young T & Bugsey Featuring Headie One,92,-,84,3,https://charts-static.billboard.com/img/2020/04/young-t-000-dont-rush-w1v-155x155.jpg
Be Something,Polo G Featuring Lil Baby,93,57,57,2,https://charts-static.billboard.com/img/2019/03/polo-g-g7p-155x155.jpg
Martin & Gina,Polo G,94,61,61,2,https://charts-static.billboard.com/img/2019/03/polo-g-g7p-155x155.jpg
21,Polo G,95,62,62,2,https://charts-static.billboard.com/img/2019/03/polo-g-g7p-155x155.jpg
July,Noah Cyrus & Leon Bridges,96,98,85,12,https://charts-static.billboard.com/img/2019/11/noah-cyrus-slx-july-4oj-155x155.jpg
Grace,Lil Baby & 42 Dugg,97,-,48,10,https://charts-static.billboard.com/img/2017/11/lil-baby-nwx-155x155.jpg
Feigning,Gunna,98,-,98,1,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
All In,Lil Baby,99,-,45,4,https://charts-static.billboard.com/img/2020/05/lil-baby-lbq-all-in-dbr-155x155.jpg
ily,surf mesa Featuring Emilee,100,-,100,1,https://charts-static.billboard.com/img/2020/03/surf-mesa-000-ily-xgr-155x155.jpg
